Date,KLCI_Close,AMM_Close,Astro_Close,Axiata_Close,Roth_Close,Cimb_Close,Digi_Close,Fgv_Close,Gent_Close,Genm_Close,Hlbk_Close,Hlfg_Close,Ihh_Close,Ioi_Close,Klk_Close,Misc_Close,May_Close,Maxis_Close,Pep_Close,Pchem_Close,Petd_Close,Ptg_Close,Pbk_Close,Rhbc_Close,Sakp_Close,Sime_Close,T_Close,Tnb_Close,Uems_Close,Umwh_Close,Ytl_Close
2013-05-03,1694.77,6.63,2.95,6.6,62.36,7.61,4.61,4.45,9.99,3.64,14.3,15.86,3.75,4.97,20.94,4.32,9.59,6.75,12.6,6.48,23.2,19.56,16.34,8.41,3.05,9.36,5.51,7.78,2.64,13.9,1.62
2013-05-06,1752.02,6.87,3.03,6.77,64,8.35,4.69,4.65,10.66,3.86,14.4,15.98,3.9,5.07,21.54,4.42,9.98,6.95,13,6.6,24.26,20,16.42,8.65,3.45,9.43,5.58,8.17,2.98,14.04,1.69
2013-05-07,1776.73,7.04,3.04,7,64.4,8.65,4.68,4.68,10.84,3.89,14.52,15.94,3.9,5.1,21.64,4.6,10.28,6.96,13,6.58,24.4,20.12,16.64,8.74,3.55,9.4,5.61,8.37,3.28,13.92,1.69
2013-05-08,1774,7.09,3.1,6.99,64.24,8.57,4.68,4.64,10.9,3.79,14.6,15.96,3.89,5.12,21.64,4.57,10.16,6.97,12.9,6.6,24.6,20.5,16.76,8.75,3.57,9.45,5.5,8.29,3.2,13.94,1.68
2013-05-09,1766.07,7.08,3.16,6.95,64,8.31,4.7,4.59,10.8,3.8,14.6,15.84,3.87,5.33,21.68,4.6,9.98,6.97,12.9,6.58,24.36,20.3,16.62,8.76,3.54,9.51,5.52,8.27,3.17,13.92,1.68
2013-05-10,1772.38,7.15,3.13,6.93,64,8.29,4.69,4.63,10.94,3.87,14.42,15.7,3.87,5.46,21.7,4.57,10.08,6.99,13.42,6.6,24.2,20.4,16.6,8.76,3.54,9.5,5.51,8.26,3.16,13.94,1.79
2013-05-13,1787.9,7.28,3.14,6.97,64,8.46,4.8,4.56,10.98,3.88,14.4,15.66,3.88,5.28,21.78,4.4,10.22,7.01,13.7,6.55,24.58,20.98,16.72,8.82,3.68,9.58,5.5,8.45,3.19,14.08,1.77
2013-05-14,1788.43,7.29,3.13,6.98,64.78,8.47,4.73,4.55,10.9,3.87,14.4,15.82,3.9,5.07,21.88,4.36,10.14,6.96,13.72,6.52,24.88,21,16.8,8.82,3.67,9.6,5.49,8.44,3.19,14.04,1.78
2013-05-15,1783.03,7.24,3.15,6.95,64.4,8.4,4.68,4.59,10.9,3.88,14.3,15.4,3.89,5.14,21.94,4.48,10.14,6.95,13.9,6.6,24.88,21.52,16.72,8.82,3.68,9.57,5.46,8.3,3.15,14.02,1.8
2013-05-16,1766.72,7.15,3.16,6.91,64.8,8.34,4.63,4.52,10.58,3.87,14.04,15.56,3.89,5.29,21.58,4.44,10.02,6.94,13.74,6.54,24.8,21.9,16.7,8.79,3.67,9.5,5.46,8.22,3.13,13.98,1.75
2013-05-17,1769.16,7.24,3.15,6.91,64.06,8.33,4.64,4.51,10.76,3.81,14.3,15.58,3.88,5.35,21.7,4.43,10.02,6.93,13.7,6.55,25.12,22.04,16.6,8.81,3.72,9.5,5.46,8.22,3.17,14,1.74
2013-05-20,1777.15,7.2,3.14,6.92,64.2,8.43,4.66,4.5,10.72,3.9,14.28,15.68,3.9,5.26,21.72,4.43,10.08,6.92,13.7,6.53,25.44,22.26,16.62,8.81,3.95,9.48,5.46,8.22,3.51,14.2,1.71
